Publication number,Family ID,Owner,title,Patenting date,Patent status,Impact score,Google link
US-10403900-B2,55459016,Tohoku Techno Arch Co Ltd,"Method for producing porous graphite, and porous graphite",9/9/2014,Active,0.594688598,https://patents.google.com/patent/US10403900B2
US-10406730-B2,47353884,Canon Inc,Imprint apparatus for imprinting when a foreign substance exists on a substrate to be imprinted,6/16/2011,Active,0.604543343,https://patents.google.com/patent/US10406730B2
US-10407307-B2,50796983,Taizhou Beyond Technology Co Ltd,Production process for silicon carbide,3/6/2014,Active,0.436676084,https://patents.google.com/patent/US10407307B2
US-10407310-B2,62905640,Rec Silicon Inc,"System for reducing agglomeration during annealing of flowable, finely divided solids",1/26/2017,Active,0.564780302,https://patents.google.com/patent/US10407310B2
US-10407770-B2,45560550,Element Six Technologies Ltd,Large area optical quality synthetic polycrystalline diamond window,12/16/2011,Active,0.642490405,https://patents.google.com/patent/US10407770B2
US-10407799-B2,61687656,Tsinghua University,Semimetal compound of pt and method for making the same,9/28/2016,Active,0.469325931,https://patents.google.com/patent/US10407799B2
US-10411261-B2,55263993,Kureha Corp,Carbonaceous material for non-aqueous electrolyte secondary battery anodes,8/8/2014,Active,0.422619721,https://patents.google.com/patent/US10411261B2
US-10414141-B2,62905967,Tsinghua University,Method for transferring nanomaterials,1/20/2017,Active,0.483483342,https://patents.google.com/patent/US10414141B2
US-10414657-B2,50731382,Lg Electronics Inc,"Method for preparing graphene and said graphene, electronic device using said graphene",11/14/2012,Active,0.530901709,https://patents.google.com/patent/US10414657B2
US-10414658-B2,59625353,Millman Systems Llc,"Graphene coated particles, their method of manufacture, and use",2/17/2016,Active,0.535926171,https://patents.google.com/patent/US10414658B2
US-10414660-B2,55808583,Schmid Silicon Tech Gmbh,Process and plant that decomposes monosilane,5/15/2015,Active,0.451731106,https://patents.google.com/patent/US10414660B2
US-10414896-B2,57942622,Zeon Corp,"Composite resin material, slurry, shaped composite resin material product, and slurry production process",7/31/2015,Active,0.576665282,https://patents.google.com/patent/US10414896B2
US-10414960-B2,56892559,Obshchestvo S Ogranichennoj Otvetstvennostyu Npo Biomikrogeli,"Substance for removing oils from soil and hard surfaces, and method for using said substances (variants)",5/7/2015,Active,0.742816288,https://patents.google.com/patent/US10414960B2
US-10415143-B2,49224256,University Of Manchester,Production of graphene and graphane,8/6/2013,Active,0.919774992,https://patents.google.com/patent/US10415143B2
US-10415152-B2,57730851,Toyota Motor Corp,Sic single crystal and method for producing same,7/9/2015,Active,0.43825804,https://patents.google.com/patent/US10415152B2
US-10418144-B2,54287619,Yazaki Corp,Carbon nanotube composite material and process for producing same,4/8/2014,Active,0.476997883,https://patents.google.com/patent/US10418144B2
US-10418557-B2,64272625,Tsinghua University,Carbon nanotube array,5/17/2017,Active,0.428403021,https://patents.google.com/patent/US10418557B2
US-10421061-B2,58556510,Hohai University Hhu,Preparation method of alumina-carbon nano tube composite powder material,10/19/2015,Active,0.458048002,https://patents.google.com/patent/US10421061B2
US-10421156-B2,57471640,Canon Inc,"Apparatus for treating raw-material powder, apparatus for treating raw-material powder, and method for producing object",12/10/2015,Active,0.590604784,https://patents.google.com/patent/US10421156B2
US-10421664-B2,53199235,Sk Innovation Co Ltd,Lithium composite phosphate-based compound and preparation method therefor,11/26/2013,Active,0.400525795,https://patents.google.com/patent/US10421664B2
US-10423064-B2,56078600,Canon Inc,Imprint apparatus and method of manufacturing article,12/2/2014,Active,0.582196455,https://patents.google.com/patent/US10423064B2
US-10424480-B2,63790301,Tsinghua University,Method for making thin film transistor with nanowires as masks,4/13/2017,Active,0.508807203,https://patents.google.com/patent/US10424480B2
US-10424638-B2,64401727,Tsinghua University,Semiconductor device,5/24/2017,Active,0.480707537,https://patents.google.com/patent/US10424638B2
US-10424784-B2,61912217,Gm Global Technology Operations Llc,Negative electrode including silicon nanoparticles having a carbon coating thereon,10/28/2016,Active,0.432469483,https://patents.google.com/patent/US10424784B2
US-10424789-B2,59101336,Witslight Technology Corp Ltd,Negative electrode for lithium ion secondary battery and lithium ion secondary battery,6/29/2016,Active,0.43368041,https://patents.google.com/patent/US10424789B2
US-10427123-B2,59899671,Nanyang Technological University,Hydrogen generator,3/22/2016,Active,0.598618792,https://patents.google.com/patent/US10427123B2
US-10427166-B2,56127598,Cidra Corporated Services Llc,"Transportable modular system for enhanced mineral recovery, from tailings line and deposits",12/17/2014,Active,0.462748152,https://patents.google.com/patent/US10427166B2
US-10427936-B2,62006374,Guangdong University Of Technology,Method of processing nano- and micro-pores,12/15/2017,Active,0.507266069,https://patents.google.com/patent/US10427936B2
US-10427941-B2,60675978,Nanotek Instruments Inc,Direct ultrasonication production of graphene sheets from coke or coal,6/26/2016,Active,0.387388317,https://patents.google.com/patent/US10427941B2
US-10429691-B2,53948415,Tianma Microelectronics Co Ltd,"Regional polarization structure, method for fabricating regional polarization structure and liquid crystal display panel",6/30/2015,Active,0.448309364,https://patents.google.com/patent/US10429691B2
US-10431740-B2,59360914,Carbonics Inc,"Continuous, scalable deposition of aligned carbon nanotubes using sprays of carbon nanotube solutions",1/22/2016,Active,0.557266774,https://patents.google.com/patent/US10431740B2
US-10431810-B2,60988901,Tsinghua University,Method for making lithium ion battery electrode,7/22/2016,Active,0.440083938,https://patents.google.com/patent/US10431810B2
US-10431823-B2,55263751,National Institute For Materials Science,"Method for manufacturing base material powder having carbon nano-coating layer, method for manufacturing mgb2 superconductor using the method, mgb2 superconductor, method for manufacturing positive electrode material for lithium ion battery, lithium ion battery, and method for manufacturing photocatalyst",8/4/2014,Active,0.475697876,https://patents.google.com/patent/US10431823B2
US-10431824-B2,54195413,Nec Corp,"Negative electrode carbon material, method for producing negative electrode carbon material, negative electrode for lithium secondary battery, and lithium secondary battery",3/26/2014,Active,0.606321415,https://patents.google.com/patent/US10431824B2
US-10435300-B2,52007452,Sichuan Ko Chang Technology Co Ltd,"Raw material of composite pellets used in kiln phosphoric acid process, and forming method therefor",6/4/2013,Active,0.350964995,https://patents.google.com/patent/US10435300B2
US-10435302-B2,59612733,Shenzhen China Star Optoelectronics Technology Co Ltd,Manufacturing method of carbon nanotube conductive microspheres and conductive glue,5/9/2017,Active,0.478223273,https://patents.google.com/patent/US10435302B2
US-10435571-B2,54883397,Lg Chem Ltd,"Method for preparing carbon nanotube, and dispersion composition of carbon nanotube",5/22/2014,Active,0.525506928,https://patents.google.com/patent/US10435571B2
US-10435797-B2,60675451,Global Graphene Group Inc,Electrochemical production of graphene sheets from coke or coal,6/26/2016,Active,0.372687314,https://patents.google.com/patent/US10435797B2
US-10438800-B2,63446488,Samsung Electronics Co Ltd,Semiconductor devices and methods of fabricating the same,3/13/2017,Active,0.58926379,https://patents.google.com/patent/US10438800B2
US-10449507-B2,54697937,Empire Technology Development Llc,Methods and systems for converting carbon dioxide into graphene,5/30/2014,Active,0.382637976,https://patents.google.com/patent/US10449507B2
US-10450650-B2,58406757,United States As Represented By Admininstrator Of Nasa,,9/24/2015,Active,0.852517799,https://patents.google.com/patent/US10450650B2
US-10450669-B2,61009346,Auo Crystal Corp,,7/29/2016,Active,0.485831862,https://patents.google.com/patent/US10450669B2
US-10450678-B2,52392855,Murata Machinery Ltd,Yarn manufacturing device,7/22/2013,Active,0.298382762,https://patents.google.com/patent/US10450678B2
US-10451579-B2,51296730,Michigan State University,"Nanoparticle-serialized oligonucleotide methods, compositions, and articles",2/8/2013,Active,0.614923675,https://patents.google.com/patent/US10451579B2
US-10453991-B2,48613933,Aledia,Light-emitting device comprising active nanowires and contact nanowires and method of fabrication,3/28/2013,Active,0.374357359,https://patents.google.com/patent/US10453991B2
US-10454096-B2,61243363,Lg Chem Ltd,Negative electrode for lithium secondary battery and lithium secondary battery comprising the same,8/26/2016,Active,0.49057352,https://patents.google.com/patent/US10454096B2
US-10457556-B2,56879223,Lg Chem Ltd,"Carbon nanostructure preparation method, carbon nanostructure prepared by means of same, and composite material comprising same",3/9/2015,Active,0.391552833,https://patents.google.com/patent/US10457556B2
US-10457865-B2,57846698,Shenzhen China Star Optoelectronics Technology Co Ltd,Water-soluble quantum dot (qd) and manufacturing methods of the water-soluble qd and the qd films,6/14/2016,Active,0.824787648,https://patents.google.com/patent/US10457865B2
US-10458026-B2,50440188,Cambridge Enterprise Ltd,Method of producing graphene,2/14/2014,Active,0.698374542,https://patents.google.com/patent/US10458026B2
US-10460862-B2,56074091,Hitachi Ltd,Magnesium diboride superconducting thin-film wire and method for producing same,11/28/2014,Active,0.72749219,https://patents.google.com/patent/US10460862B2
US-10464027-B2,55411720,Powercell Sweden Ab,Carbon monoxide oxidation device,12/4/2014,Active,0.423896,https://patents.google.com/patent/US10464027B2
US-10464037-B2,52736995,Maxplanckgesellschaft Zur Forderung Der Wissenschaften,"Method for encapsulating a nanostructure, coated nanostructure and use of a coated nanostructure",3/27/2015,Active,0.527707045,https://patents.google.com/patent/US10464037B2
US-10464814-B2,52586680,Shizuoka University Nuc,Production method for carbon nanotubes,8/28/2013,Active,0.417258556,https://patents.google.com/patent/US10464814B2
US-10464815-B2,60660744,Southern Research Institute,High temperature thermochemical energy storage system,6/15/2016,Active,0.565988549,https://patents.google.com/patent/US10464815B2
US-10465184-B2,54359703,Bioneer Corp,Highly active silica magnetic nanoparticles for purifying biomaterial and preparation method thereof,5/28/2015,Active,0.742626988,https://patents.google.com/patent/US10465184B2
US-10468268-B2,52586382,Tokyo Electron Ltd,,8/29/2013,Active,0.377603844,https://patents.google.com/patent/US10468268B2
US-10468671-B2,61622387,Indian Oil Corp Ltd,Compositions for preparing expander free electrodes for lead acid battery and performance thereof,5/17/2017,Active,0.532527792,https://patents.google.com/patent/US10468671B2
US-10472242-B2,56107746,Lg Chem Ltd,Method for preparing graphene by using high speed homogenization pretreatment and high pressure homogenation,12/11/2014,Active,0.401148591,https://patents.google.com/patent/US10472242B2
US-10472243-B2,58385767,Suzhou Cstar Material Technology Co Ltd,Industrial method for preparing large-sized graphene,9/25/2015,Active,0.579264624,https://patents.google.com/patent/US10472243B2
US-10474982-B2,61758278,Walmart Apollo Llc,,10/4/2016,Active,0.799256726,https://patents.google.com/patent/US10474982B2
US-10475549-B2,52676821,Sungkyunkwan University Research And Business Foundation,"Structure including molecular monolayer and graphene electrode, flexible electronic device, and method of producing the same",11/12/2013,Active,0.55211866,https://patents.google.com/patent/US10475549B2
US-10475616-B2,53180594,Lightlab Sweden Ab,Method for manufacturing nanostructures for a field emission cathode,5/18/2015,Active,0.455048916,https://patents.google.com/patent/US10475616B2
US-10476073-B2,55399066,Toyota Industries Corp,Production process for carbon-coated silicon material,8/27/2014,Active,0.771921882,https://patents.google.com/patent/US10476073B2
US-10479853-B2,49116767,Asahi Kasei Chemicals Corp,Surface-treated carbon nanotube and resin composition,3/5/2012,Active,0.701032452,https://patents.google.com/patent/US10479853B2
US-10480075-B2,46827431,Nps Corp,Graphene synthesis chamber and method of synthesizing graphene by using the same,3/17/2011,Active,0.902454287,https://patents.google.com/patent/US10480075B2
US-10483104-B2,55167379,Toshiba Corp,,3/30/2012,Active,0.754774079,https://patents.google.com/patent/US10483104B2
US-10483105-B2,57943927,Stc Unm,Nanowire bending for planar device process on (001) si substrates,5/13/2015,Active,0.515894903,https://patents.google.com/patent/US10483105B2
US-10483400-B2,64271968,Tsinghua University,Thin film transistor with carbon nanotubes,5/17/2017,Active,0.463826292,https://patents.google.com/patent/US10483400B2
US-10483549-B2,60035619,Lg Chem Ltd,Method of manufacturing electrode current collector for secondary battery and electrode including electrode current collector manufactured using the method,3/21/2016,Active,0.468853905,https://patents.google.com/patent/US10483549B2
US-10483554-B2,57684051,Korea Advanced Institute Of Science And Technology Kaist,Carbon support for fuel cell catalyst and preparation method thereof,7/1/2015,Active,0.448655662,https://patents.google.com/patent/US10483554B2
US-10486235-B2,53371266,Tanaka Kikinzoku Kogyo Kk,"Method for producing silver particles, and silver particles produced by the method",12/11/2013,Active,0.526029921,https://patents.google.com/patent/US10486235B2
US-10486379-B2,60937492,Goodrich Corp,Reducing cnt resistivity by aligning cnt particles in films,12/8/2016,Active,0.484533337,https://patents.google.com/patent/US10486379B2
US-10486972-B2,50976462,Haldor Topsoe As,Process for safe production of phosgene,6/11/2014,Active,0.367014177,https://patents.google.com/patent/US10486972B2
US-10486974-B2,62556400,Korea Basic Science Institute Kbsi,"Hollow spherical lithium-transition metal-silicate composites, preparation method thereof, and cathode active material for lithium secondary batteries comprising the same",12/16/2016,Active,0.482287417,https://patents.google.com/patent/US10486974B2
US-10487395-B2,54938257,Sumitomo Electric Industries Ltd,"Method of manufacturing diamond substrate, diamond substrate, and diamond composite substrate",6/25/2014,Active,0.585471322,https://patents.google.com/patent/US10487395B2
US-10494263-B2,53449204,Heilongjiang University,Method for preparing biomass graphene by using cellulose as raw material,3/4/2015,Active,0.999845147,https://patents.google.com/patent/US10494263B2
US-10494492-B2,56689356,National Institute Of Advanced Industrial Science And Technology Aist,"Carbon nanotube-elastomer composite material, seal material and sealing material each produced using same, and method for producing carbon nanotube-elastomer composite material",2/19/2015,Active,0.69128048,https://patents.google.com/patent/US10494492B2
US-10494557-B2,57587584,Chung Yuan Christian University,Method of preparing nitrogen-doped graphene and method of producing composite heat dispatching plate thereof,6/22/2015,Active,0.52366958,https://patents.google.com/patent/US10494557B2
US-10497893-B2,57127268,Lg Electronics Inc,"Method for doping graphene, method for manufacturing graphene composite electrode, and graphene structure comprising same",4/15/2015,Active,0.495519817,https://patents.google.com/patent/US10497893B2
US-10500156-B2,44673636,Northeastern University China,Multi-compartmental macrophage delivery,3/24/2010,Active,0.503582866,https://patents.google.com/patent/US10500156B2
US-10500594-B2,55077934,Shandong Dazhan Nano Materials Co Ltd,Apparatus and method for continuous preparation of carbon nanotubes,7/17/2014,Active,0.523514262,https://patents.google.com/patent/US10500594B2
US-10500691-B2,61241293,Ebara Corp,Substrate processing apparatus and substrate processing method,8/29/2016,Active,0.705863337,https://patents.google.com/patent/US10500691B2
US-10501326-B2,58503025,Lg Chem Ltd,Silica aerogel-including blanket and method for preparing the same,9/10/2015,Active,0.556116059,https://patents.google.com/patent/US10501326B2
US-10501845-B2,61829991,Fourte International Sdn Bhd,Thin metal coating methods for high conductivity graphane-metal composites and methods of manufacture,11/20/2015,Active,0.599457132,https://patents.google.com/patent/US10501845B2
US-10501851-B2,60294480,Fei Co,Attachment of nano-objects to beam-deposited structures,5/12/2016,Active,0.4735056,https://patents.google.com/patent/US10501851B2
US-10504983-B2,59111108,Boe Technology Group Co Ltd,"Thin film transistor and manufacturing method thereof, array substrate and display device",1/16/2017,Active,0.570037256,https://patents.google.com/patent/US10504983B2
US-10508240-B2,62875310,Saudi Arabian Oil Co,"Integrated thermal processing for mesophase pitch production, asphaltene removal, and crude oil and residue upgrading",6/19/2017,Active,0.494546269,https://patents.google.com/patent/US10508240B2
US-10510534-B2,57102383,Hanyang University Industryuniversity Cooperation Foundation Iucf,"Thin film, method of fabricating the same, and apparatus for fabricating the same",3/9/2015,Active,0.601704257,https://patents.google.com/patent/US10510534B2
US-10510979-B2,58957240,Boe Technology Group Co Ltd,"Composite transparent electrode, oled and method for manufacturing thereof, array substrate and display device",2/17/2017,Active,0.604618382,https://patents.google.com/patent/US10510979B2
US-10511029-B2,59924118,Vinatech Co Ltd,"Method for manufacturing catalyst support, catalyst support manufactured thereby, and catalyst for fuel cell including the same",8/31/2016,Active,0.500312132,https://patents.google.com/patent/US10511029B2
US-10511048-B2,59281239,Lg Chem Ltd,Method of preparing negative electrode active material for lithium secondary battery and lithium secondary battery using the same,12/10/2015,Active,0.592169668,https://patents.google.com/patent/US10511048B2
US-10512887-B2,58228107,Wacker Chemie Ag,,3/21/2016,Active,0.447700486,https://patents.google.com/patent/US10512887B2
US-10513090-B2,53784158,Ip2Ipo Innovations Ltd,2-dimensional carbon material,6/18/2015,Active,0.557551971,https://patents.google.com/patent/US10513090B2
US-10513573-B2,46244280,Seiko Pmc Corp,Process for producing silver nanowires and agent for controlling growth of silver nanowires,12/17/2010,Active,0.829438573,https://patents.google.com/patent/US10513573B2
US-10518239-B2,59625239,Lg Chem Ltd,Apparatus for manufacturing aerogel sheet,2/16/2016,Active,0.533981518,https://patents.google.com/patent/US10518239B2
US-10519039-B2,53836025,Univ Paris Xii Nord Villetaneuse,"Mechanochemical process for the production of bp, b12p2 and mixtures thereof, in particular as nanopowders",5/20/2015,Active,0.435289025,https://patents.google.com/patent/US10519039B2
US-10520416-B2,49233293,Screen Holdings Co Ltd,Substrate treating method for a substrate treating apparatus that carries out etching treatment of substrates,3/27/2012,Active,0.690055534,https://patents.google.com/patent/US10520416B2
US-10522616-B2,63711192,Samsung Electronics Co Ltd,Semiconductor device,4/5/2017,Active,0.596607684,https://patents.google.com/patent/US10522616B2
US-10522711-B2,64452946,Chi Mei Corp,"Manufacturing method of quantum dot, light-emitting material, light-emitting device, and display apparatus",8/4/2017,Active,0.526089602,https://patents.google.com/patent/US10522711B2
US-10525226-B2,54537658,Mallinckrodt Hospital Products Ip Ltd,Systems and methods for indicating lifetime of an no2-to-no reactor cartridge used to deliver no for inhalation therapy to a patient,5/14/2014,Active,0.540905494,https://patents.google.com/patent/US10525226B2
US-10525502-B2,63106616,Purdue Research Foundation,Methods of nanoscale directional wetting and uses thereof,1/23/2017,Active,0.606791988,https://patents.google.com/patent/US10525502B2
US-10526202-B2,56787317,Indian Oil Corp Ltd,Process for production of high quality syngas through regeneration of coked upgradation agent,11/9/2015,Active,0.613931913,https://patents.google.com/patent/US10526202B2
US-10526206-B2,50943323,Wacker Chemie Ag,Process for operating a fluidized bed reactor,6/27/2013,Active,0.357466189,https://patents.google.com/patent/US10526206B2
US-10526716-B2,52232139,Technische Universitaet Berlin,,12/4/2013,Active,0.369282549,https://patents.google.com/patent/US10526716B2
US-10529980-B2,60941397,Semiconductor Energy Laboratory Co Ltd,"Graphene compound, method for forming graphene compound, and power storage device",7/13/2016,Active,0.48355751,https://patents.google.com/patent/US10529980B2
US-10529984-B2,55078105,Shin Etsu Chemical Co Ltd,Negative electrode material for non-aqueous electrolyte secondary battery and method of producing negative electrode active material particles,7/15/2014,Active,0.527628389,https://patents.google.com/patent/US10529984B2
US-10532337-B2,56990213,Asia Pacific Fuel Cell Technologies Ltd,Container with heating device and safety device,8/21/2015,Active,0.500029813,https://patents.google.com/patent/US10532337B2
US-10532931-B2,56106817,Stora Enso Oyj,Method for carbonizing lignocelluosic material as a powder,12/11/2014,Active,0.440501416,https://patents.google.com/patent/US10532931B2
US-10535872-B2,57440771,Shin Etsu Chemical Co Ltd,"Negative electrode active material for non-aqueous electrolyte secondary battery, negative electrode for non-aqueous electrolyte secondary battery, non-aqueous electrolyte secondary battery, and method of producing negative electrode active material particles",6/2/2015,Active,0.551885189,https://patents.google.com/patent/US10535872B2
US-10535876-B2,55399012,Nec Corp,Electrochemically modified carbon material for lithium-ion battery,8/29/2014,Active,0.409653551,https://patents.google.com/patent/US10535876B2
US-10541412-B2,56682281,Enevate Corp,Surface modification of silicon particles for electrochemical storage,8/7/2015,Active,0.613137898,https://patents.google.com/patent/US10541412B2
US-10543534-B2,62065923,Amastan Technologies Inc,Apparatus and method for the production of quantum particles,11/9/2016,Active,0.536206678,https://patents.google.com/patent/US10543534B2
US-10544041-B2,47712877,Semiconductor Energy Laboratory Co Ltd,"Method for manufacturing graphene-coated object, negative electrode of secondary battery including graphene-coated object, and secondary battery including the negative electrode",8/19/2011,Active,0.772211119,https://patents.google.com/patent/US10544041B2
US-10544046-B2,54480843,Msmh Llc,Methods and systems for the synthesis of nanoparticles including strained nanoparticles,5/15/2014,Active,0.432310687,https://patents.google.com/patent/US10544046B2
US-10544047-B2,54011698,Wacker Chemie Ag,Method for producing polycrystalline silicon,8/18/2014,Active,0.336978971,https://patents.google.com/patent/US10544047B2
US-10544049-B2,51999240,Basf Se,Process for preparing a porous inorganic powder,11/20/2014,Active,0.469622828,https://patents.google.com/patent/US10544049B2
US-10547050-B2,61301135,Korea Institute Of Carbon Convergence Technology,High specific surface area hard carbon-based electrode active material through carbonization process control and electrode active material by thereof,8/30/2016,Active,0.50157547,https://patents.google.com/patent/US10547050B2
US-10549254-B2,62116604,Breakthrough Technologies Llc,Sulfur production,4/18/2017,Active,0.723681217,https://patents.google.com/patent/US10549254B2
US-10549266-B2,54439773,South China University Of Technology Scut,Low-platinum catalyst based on nitride nanoparticles and preparation method thereof,6/23/2015,Active,0.502879224,https://patents.google.com/patent/US10549266B2
US-10549998-B2,54478802,Centre National De La Recherche Scientifique Cnrs,Method and system for producing polymer/graphene oxide nanocomposites reduced by in situ reduction of graphene oxide,7/29/2015,Active,0.439880203,https://patents.google.com/patent/US10549998B2
US-10550003-B2,63039096,Northwestern University,Electronically abrupt borophene/organic lateral heterostructures and preparation thereof,2/8/2017,Active,0.605859763,https://patents.google.com/patent/US10550003B2
US-10551322-B2,50068250,Hamamatsu Photonics Kk,Surface-enhanced raman scattering unit including integrally formed handling board,8/10/2012,Active,0.608772743,https://patents.google.com/patent/US10551322B2
US-10553867-B2,58046474,Toshiba Corp,"Active material, nonaqueous electrolyte battery, battery pack, and vehicle",3/16/2016,Active,0.486252372,https://patents.google.com/patent/US10553867B2
US-10553871-B2,49512751,Zenlabs Energy Inc,Battery cell engineering and design to reach high energy,5/4/2012,Active,0.646465755,https://patents.google.com/patent/US10553871B2
US-10556211-B2,51214691,Northeastern University China,Method for producing synthetic diamonds,6/4/2014,Active,0.407878724,https://patents.google.com/patent/US10556211B2
US-10559812-B2,59273444,Shin Etsu Chemical Co Ltd,"Negative electrode active material for nonaqueous electrolyte secondary battery, negative electrode for nonaqueous electrolyte secondary battery, nonaqueous electrolyte secondary battery, and production method of negative electrode active material for nonaqueous electrolyte secondary battery",1/4/2016,Active,0.401337868,https://patents.google.com/patent/US10559812B2
US-10562772-B2,60158803,Tsinghua University,,4/28/2016,Active,0.465199044,https://patents.google.com/patent/US10562772B2
US-10562777-B2,58108651,Wacker Chemie Ag,Process and apparatus for production of granular polycrystalline silicon,2/25/2016,Active,0.427809996,https://patents.google.com/patent/US10562777B2
US-10562780-B2,50928944,Avon Polymer Products Ltd,Rubber processing method,4/17/2014,Active,0.436699282,https://patents.google.com/patent/US10562780B2
US-10563290-B2,55459124,Metal And Technology Inc,Al alloy containing cu and c and its manufacturing method,9/9/2014,Active,0.413408601,https://patents.google.com/patent/US10563290B2
US-10563300-B2,54292800,Aixtron Se,Method for separating a carbon structure from a seed structure,10/29/2014,Active,0.346729907,https://patents.google.com/patent/US10563300B2
US-10563325-B2,60329947,Tsinghua University,Method for making carbon fiber film,5/20/2016,Active,0.428023184,https://patents.google.com/patent/US10563325B2
US-10566608-B2,50776068,Nissan Motor Co Ltd,Negative electrode for electric device and electric device using the same,11/22/2012,Active,0.445763291,https://patents.google.com/patent/US10566608B2
US-10570016-B2,55954470,Toda Kogyo Corp,"Carbon nanotube and process for producing the carbon nanotube, and lithium ion secondary battery using the carbon nanotube",11/14/2014,Active,0.544944639,https://patents.google.com/patent/US10570016B2
US-10570019-B2,54766837,Gaia Institute Of Environment Technology Inc,"Amorphous silicon for use in foods, drugs, cosmetics and feed, and production method and production device thereof",6/3/2014,Active,0.449407512,https://patents.google.com/patent/US10570019B2
US-10570020-B2,58236744,Fuji Xerox Co Ltd,Silica particle and method of preparing silica particle,9/14/2015,Active,0.66063085,https://patents.google.com/patent/US10570020B2
US-10570301-B2,62240461,Inner Mongolia Xianhong Science Co Ltd,Solvent based inkjet ink composition,12/2/2016,Active,0.537147589,https://patents.google.com/patent/US10570301B2
US-10570314-B2,61559607,Asahi Glass Co Ltd,"Polishing agent, polishing method, and liquid additive for polishing",9/13/2016,Active,0.544729581,https://patents.google.com/patent/US10570314B2
US-10573517-B2,57184788,Globalwafers Co Ltd,"Epitaxial growth of defect-free, wafer-scale single-layer graphene on thin films of cobalt",10/1/2015,Active,0.510808752,https://patents.google.com/patent/US10573517B2
US-10573564-B2,63917422,Tokyo Electron Ltd,Method for fabricating nfet and pfet nanowire devices,4/27/2017,Active,0.603263975,https://patents.google.com/patent/US10573564B2
US-10573891-B2,50183662,Kuraray Co Ltd,"Carbon material for nonaqueous electrolyte secondary battery and method for manufacturing same, and negative electrode using carbon material and nonaqueous electrolyte secondary battery",8/30/2012,Active,0.950909105,https://patents.google.com/patent/US10573891B2
US-10577721-B2,53052460,Element Six Abrasives Sa,Highly fluorescent diamond particles and methods of fabricating the same,3/26/2015,Active,0.541899922,https://patents.google.com/patent/US10577721B2
US-10578598-B2,57452879,Wisconsin Alumni Research Foundation,Nanoreactors as thermal history indicators,6/8/2015,Active,0.551733445,https://patents.google.com/patent/US10578598B2
US-10581069-B2,55400052,Lg Chem Ltd,"Negative electrode active material having double coating layer, method for preparing the same and lithium secondary battery including the same",8/26/2014,Active,0.586714839,https://patents.google.com/patent/US10581069B2
US-10581073-B2,56564328,Lg Chem Ltd,Secondary battery including high-capacity negative electrode and method of manufacturing the same,2/2/2015,Active,0.321493454,https://patents.google.com/patent/US10581073B2
US-10584282-B2,56149778,Kuraray Co Ltd,Electronic device and method for producing same,12/24/2014,Active,0.644848265,https://patents.google.com/patent/US10584282B2
US-10584422-B1,64080093,Hepu Technology Development Beijing Co Ltd,Synthetic ammonia system for making hydrogen by electrolysis in thermal power plant,8/14/2018,Active,0.530695325,https://patents.google.com/patent/US10584422B1
US-10586661-B2,61070124,Global Graphene Group Inc,Process for producing graphene oxide-bonded metal foil thin film current collector for a battery or supercapacitor,8/8/2016,Active,0.486306454,https://patents.google.com/patent/US10586661B2
US-10586694-B2,48982594,Toshiba Memory Corp,Method for fabricating semiconductor device,2/21/2012,Active,0.520855246,https://patents.google.com/patent/US10586694B2
US-10589247-B2,57104025,Hydrogenious Lohc Technologies Gmbh,Reactor apparatus for loading a carrier medium with hydrogen and/or unloading it therefrom and plant comprising a reactor apparatus of this kind,10/6/2015,Active,0.542859697,https://patents.google.com/patent/US10589247B2
US-10590001-B2,55581256,Hitachi Chemical Co Ltd,"Aerogel composite, and supporting member and heat insulation material provided with aerogel composite",9/25/2014,Active,0.544643294,https://patents.google.com/patent/US10590001B2
US-10593454-B2,55533091,Powdertech Co Ltd,Spherical ferrite particles in nano-size and method of manufacturing same,9/19/2014,Active,0.650099669,https://patents.google.com/patent/US10593454B2
US-10593937-B2,60807158,Lg Chem Ltd,Anode and lithium secondary battery comprising the same,7/4/2016,Active,0.439174478,https://patents.google.com/patent/US10593937B2
US-10597389-B2,61192245,Global Graphene Group Inc,Humic acid-bonded metal foil film current collector and battery and supercapacitor containing same,8/22/2016,Active,0.777456566,https://patents.google.com/patent/US10597389B2
US-10601043-B2,55399014,Nec Corp,Electrochemically modified carbon material for lithium-ion battery,8/29/2014,Active,0.397568171,https://patents.google.com/patent/US10601043B2
US-10602646-B2,58631788,Lg Chem Ltd,Method for preparing magnetic iron oxide-graphene composite,10/30/2015,Active,0.463399958,https://patents.google.com/patent/US10602646B2
US-10603648-B2,55072614,Thyssenkrupp Ag,Method for arranging a packing in a burner and burner basket for a burner,12/22/2014,Active,0.481387983,https://patents.google.com/patent/US10603648B2
US-10604409-B2,60158089,Tsinghua University,Method for making carbon nanotube structure,4/28/2016,Active,0.482403532,https://patents.google.com/patent/US10604409B2
US-10604410-B2,59429209,Lg Chem Ltd,Negative electrode active material for lithium secondary battery and method of preparing the same,1/14/2016,Active,0.485745978,https://patents.google.com/patent/US10604410B2
US-10605659-B2,47563231,Wacker Chemie Ag,Process for determining surface contamination of polycrystalline silicon,1/24/2012,Active,0.366018153,https://patents.google.com/patent/US10605659B2
US-10610607-B2,47139573,Research Foundation Of State University Of New York,Magnetic graphene-like nanoparticles or graphitic nano- or microparticles and method of production and uses thereof,5/6/2011,Active,0.655091961,https://patents.google.com/patent/US10610607B2
